p1,p2,p3,p4,label
1,0,0,0,1
0,1,1,0,1
1,0,1,0,1
0,0,0,1,1
0,1,2,0,1
1,0,2,0,1
0,0,1,1,1
0,1,3,0,1
1,0,3,0,1
0,0,2,1,1
0,1,4,0,1
1,0,4,0,1
0,0,3,1,1
0,1,5,0,1
1,0,5,0,1
0,0,4,1,1
0,1,6,0,1
1,0,6,0,1
0,0,5,1,1
0,1,7,0,1
1,0,7,0,1
0,0,6,1,1
0,1,8,0,1
1,0,8,0,1
0,0,7,1,1
0,1,9,0,1
1,0,9,0,1
0,0,8,1,1
0,1,10,0,1
1,0,10,0,1
0,0,9,1,1
0,1,11,0,1
1,0,11,0,1
0,0,10,1,1
0,1,12,0,1
1,0,12,0,1
0,0,11,1,1
0,1,13,0,1
1,0,13,0,1
0,0,12,1,1
0,1,14,0,1
1,0,14,0,1
0,0,13,1,1
0,1,15,0,1
1,0,15,0,1
0,0,14,1,1
0,1,16,0,1
1,0,16,0,1
0,0,15,1,1
0,1,17,0,1
1,0,17,0,1
0,0,16,1,1
0,1,18,0,1
1,0,18,0,1
0,0,17,1,1
0,1,19,0,1
1,0,19,0,1
0,0,18,1,1
0,1,20,0,1
1,0,20,0,1
0,0,19,1,1
0,1,21,0,1
1,0,21,0,1
0,0,20,1,1
0,1,22,0,1
1,0,22,0,1
0,0,21,1,1
0,1,23,0,1
1,0,23,0,1
0,0,22,1,1
0,1,24,0,1
1,0,24,0,1
0,0,23,1,1
0,1,25,0,1
1,0,25,0,1
0,0,24,1,1
0,1,26,0,1
1,0,26,0,1
0,0,25,1,1
0,1,27,0,1
1,0,27,0,1
0,0,26,1,1
0,1,28,0,1
1,0,28,0,1
0,0,27,1,1
0,1,29,0,1
1,0,29,0,1
0,0,28,1,1
0,1,30,0,1
1,0,30,0,1
0,0,29,1,1
0,1,31,0,1
1,0,31,0,1
0,0,30,1,1
0,1,32,0,1
1,0,32,0,1
0,0,31,1,1
0,1,33,0,1
1,0,33,0,1
0,0,32,1,1
0,1,34,0,1
1,0,34,0,1
0,0,33,1,1
0,1,35,0,1
1,0,35,0,1
0,0,34,1,1
0,1,36,0,1
1,0,36,0,1
0,0,35,1,1
0,1,37,0,1
1,0,37,0,1
0,0,36,1,1
0,1,38,0,1
1,0,38,0,1
0,0,37,1,1
0,1,39,0,1
1,0,39,0,1
0,0,38,1,1
0,1,40,0,1
1,0,40,0,1
0,0,39,1,1
0,1,41,0,1
1,0,41,0,1
0,0,40,1,1
0,1,42,0,1
1,0,42,0,1
0,0,41,1,1
0,1,43,0,1
1,0,43,0,1
0,0,42,1,1
0,1,44,0,1
1,0,44,0,1
0,0,43,1,1
0,1,45,0,1
1,0,45,0,1
0,0,44,1,1
0,1,46,0,1
1,0,46,0,1
0,0,45,1,1
0,1,47,0,1
1,0,47,0,1
0,0,46,1,1
0,1,48,0,1
1,0,48,0,1
0,0,47,1,1
0,1,49,0,1
1,0,49,0,1
0,0,48,1,1
0,1,50,0,1
1,0,50,0,1
0,0,49,1,1
0,1,51,0,1
1,0,51,0,1
0,0,50,1,1
0,1,52,0,1
1,0,52,0,1
0,0,51,1,1
0,1,53,0,1
1,0,53,0,1
0,0,52,1,1
0,1,54,0,1
1,0,54,0,1
0,0,53,1,1
0,1,55,0,1
1,0,55,0,1
0,0,54,1,1
0,1,56,0,1
1,0,56,0,1
0,0,55,1,1
0,1,57,0,1
