,min,max,Precision,Recall,Accuracy,f1_score,time
1,3389.0,6721.0,1.0,1.0,1.0,1.0,5.929761982988566
2,3869.0,7200.0,1.0,1.0,1.0,1.0,6.107534228009172
3,4275.0,7608.0,1.0,1.0,1.0,1.0,6.753526951011736
4,4366.0,7699.0,1.0,1.0,1.0,1.0,7.5704163720074575
5,4686.0,8019.0,1.0,1.0,1.0,1.0,9.212036354991142
6,5044.0,8376.0,1.0,1.0,1.0,1.0,13.809273657010635
7,5441.0,8773.0,1.0,1.0,1.0,1.0,11.278604806982912
8,5849.0,9182.0,1.0,1.0,1.0,1.0,11.15514212398557
9,6150.0,9483.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,10.68431245200918
10,6535.0,9868.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,15.97115806399961
11,6693.0,10026.0,1.0,1.0,1.0,1.0,13.822521241003415
12,7015.0,10347.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,12.83829745699768
13,7410.0,10743.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,15.276038973999675
14,7933.0,11264.0,1.0,1.0,1.0,1.0,16.657720550021622
15,8114.0,11445.0,1.0,1.0,1.0,1.0,17.62081879400648
16,8455.0,11788.0,1.0,1.0,1.0,1.0,18.976152262999676
17,8835.0,12168.0,1.0,1.0,1.0,1.0,19.82126544500352
18,9008.0,12340.0,1.0,1.0,1.0,1.0,20.774805797991576
19,9388.0,12719.0,1.0,1.0,1.0,1.0,21.03311892700731
20,9965.0,13298.0,1.0,1.0,1.0,1.0,22.299983870005235
21,10172.0,13504.0,1.0,1.0,1.0,1.0,21.606757878005737
22,10400.0,13732.0,1.0,1.0,1.0,1.0,24.69961274700472
23,10724.0,14054.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,23.235667432978516
24,11272.0,14603.0,1.0,1.0,1.0,1.0,25.63105820599594
25,11648.0,14978.0,1.0,1.0,1.0,1.0,24.255207885988057
26,11735.0,15067.0,1.0,1.0,1.0,1.0,26.21215321100317
27,12200.0,15532.0,1.0,1.0,1.0,1.0,27.537636018998455
28,12436.0,15769.0,1.0,1.0,1.0,1.0,28.365344753023237
29,12929.0,16261.0,1.0,1.0,1.0,1.0,38.266632719984045
30,13273.0,16606.0,1.0,1.0,1.0,1.0,30.08454704398173
31,13654.0,16986.0,1.0,1.0,1.0,1.0,39.3553547289921
32,13974.0,17307.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,33.16304327599937
33,14063.0,17396.0,1.0,1.0,1.0,1.0,41.65098444902105
34,14629.0,17962.0,1.0,1.0,1.0,1.0,44.30778428199119
35,14926.0,18258.0,1.0,1.0,1.0,1.0,44.62261468399083
36,15283.0,18616.0,1.0,1.0,1.0,1.0,48.72651744101313
37,15595.0,18927.0,1.0,1.0,1.0,1.0,48.85956537001766
38,15939.0,19272.0,1.0,1.0,1.0,1.0,50.17505978999543
39,16200.0,19530.0,1.0,1.0,1.0,1.0,46.447476697998354
40,16661.0,19992.0,1.0,1.0,1.0,1.0,55.299314732983476
41,16864.0,20196.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,47.531064250011696
42,17151.0,20483.0,1.0,1.0,1.0,1.0,72.81495242202072
43,17502.0,20834.0,1.0,1.0,1.0,1.0,65.47186509901076
44,17943.0,21275.0,1.0,1.0,1.0,1.0,54.94174095499329
45,18076.0,21409.0,1.0,1.0,1.0,1.0,57.6735783329932
46,18458.0,21789.0,1.0,1.0,1.0,1.0,59.83640215199557
47,18919.0,22252.0,1.0,1.0,1.0,1.0,58.898737450974295
48,19163.0,22496.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,60.90501935899374
49,19333.0,22665.0,1.0,1.0,1.0,1.0,60.88970153601258
50,19825.0,23154.0,1.0,1.0,1.0,1.0,60.717973958991934
51,20179.0,23512.0,1.0,1.0,1.0,1.0,62.57678481200128
52,20334.0,23665.0,1.0,1.0,1.0,1.0,65.95194215502124
53,20901.0,24233.0,1.0,1.0,1.0,1.0,65.5022049350082
54,21275.0,24608.0,1.0,1.0,1.0,1.0,67.249952631013
55,21479.0,24811.0,1.0,1.0,1.0,1.0,71.49256336200051
56,21829.0,25162.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,70.81672477899701
57,22139.0,25472.0,1.0,1.0,1.0,1.0,68.76217529401765
58,22412.0,25743.0,1.0,1.0,1.0,1.0,75.5808094899985
59,22951.0,26282.0,1.0,1.0,1.0,1.0,74.272355196008
60,23125.0,26457.0,1.0,1.0,1.0,1.0,74.71778123101103
61,23656.0,26987.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,76.2925049100013
62,23731.0,27064.0,0.999000999000999,1.0,0.9995,0.9995002498750626,73.88131276599597
63,24217.0,27547.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,79.16017251097946
64,24445.0,27776.0,1.0,1.0,1.0,1.0,82.68870876598521
65,24764.0,28097.0,1.0,1.0,1.0,1.0,75.61641927700839
66,25274.0,28606.0,1.0,1.0,1.0,1.0,86.13155805002316
67,25649.0,28982.0,1.0,1.0,1.0,1.0,81.48173829601728
68,25843.0,29176.0,1.0,1.0,1.0,1.0,86.56746112799738
69,26275.0,29608.0,1.0,1.0,1.0,1.0,82.45857470299234
