,min,max,Precision,Recall,Accuracy,f1_score,time
1,104.0,208.0,0.9940357852882704,1.0,0.997,0.9970089730807578,5.372702781984117
2,112.0,216.0,0.9925558312655087,1.0,0.99625,0.9962640099626401,7.486828146997141
3,123.0,231.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,4.287701188994106
4,130.0,236.0,0.998003992015968,1.0,0.999,0.9990009990009989,6.285723968001548
5,140.0,250.0,0.998003992015968,1.0,0.999,0.9990009990009989,7.414101373025915
6,153.0,255.0,0.9965122072745392,1.0,0.99825,0.9982530571499876,7.607546884013573
7,165.0,266.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,9.223848159977933
8,173.0,273.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,7.264151087001665
9,181.0,283.0,0.998003992015968,1.0,0.999,0.9990009990009989,11.363889979984378
10,192.0,297.0,0.999000999000999,1.0,0.9995,0.9995002498750626,8.259871095011476
11,207.0,309.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,11.784565559995826
12,212.0,314.0,0.9930486593843099,1.0,0.9965,0.9965122072745392,8.584338696004124
13,224.0,328.0,0.9940357852882704,1.0,0.997,0.9970089730807578,12.293820488004712
14,234.0,338.0,0.9960159362549801,1.0,0.998,0.998003992015968,9.84336098798667
15,244.0,345.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,11.729358578013489
16,251.0,354.0,0.9965122072745392,1.0,0.99825,0.9982530571499876,11.400322469999082
17,264.0,368.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,12.329054223984713
18,271.0,375.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,13.396269616001518
19,287.0,387.0,0.998003992015968,1.0,0.999,0.9990009990009989,12.179925031989114
20,291.0,394.0,0.9960159362549801,1.0,0.998,0.998003992015968,14.996291843999643
21,302.0,408.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,14.294327055016765
22,315.0,417.0,0.9935419771485345,1.0,0.99675,0.99676052828308,15.761507369985338
23,324.0,426.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,15.452182178996736
24,334.0,434.0,0.9960159362549801,1.0,0.998,0.998003992015968,13.329418022010941
25,340.0,442.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,17.214426850987365
26,355.0,456.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,15.120828148996225
27,361.0,467.0,0.9930486593843099,1.0,0.9965,0.9965122072745392,17.110092154005542
28,370.0,478.0,0.9960159362549801,1.0,0.998,0.998003992015968,20.414077341993107
29,382.0,483.0,0.9960159362549801,1.0,0.998,0.998003992015968,16.834062648005784
30,391.0,496.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,26.350563601008616
31,401.0,501.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,23.774792187992716
32,413.0,516.0,0.9930486593843099,1.0,0.9965,0.9965122072745392,18.475633964990266
33,422.0,531.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,27.66608821399859
34,434.0,539.0,0.9940357852882704,1.0,0.997,0.9970089730807578,26.125332219002303
35,445.0,548.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,23.524293224996654
36,452.0,557.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,28.043065687001217
37,461.0,564.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,30.77395274300943
38,475.0,577.0,0.9985022466300549,1.0,0.99925,0.9992505620784412,24.7215775460063
39,485.0,588.0,0.9945300845350572,1.0,0.99725,0.9972575417601595,31.264682976994663
40,498.0,599.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,33.8842104790092
41,503.0,606.0,0.9940357852882704,1.0,0.997,0.9970089730807578,31.976104123023106
42,515.0,619.0,0.9965122072745392,1.0,0.99825,0.9982530571499876,31.694899015012197
43,520.0,630.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,34.92199713297305
44,534.0,634.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,30.883259528985946
45,541.0,641.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,34.772226614994
46,553.0,656.0,0.9960159362549801,1.0,0.998,0.998003992015968,40.77128916999209
47,565.0,668.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,36.25213704400812
48,574.0,676.0,0.998003992015968,1.0,0.999,0.9990009990009989,32.36559036298422
49,580.0,688.0,0.9960159362549801,1.0,0.998,0.998003992015968,52.883917726023355
50,592.0,695.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,60.36191698798211
51,606.0,708.0,0.9935419771485345,1.0,0.99675,0.99676052828308,38.70201513700886
