,min,max,Precision,Recall,Accuracy,f1_score,time
1,43,167,1,1,1,1,6.873929789
2,57,177,1,1,1,1,14.08198574
3,62,182,1,1,1,1,13.75303221
4,69,188,1,1,1,1,16.46081143
5,76,198,1,1,1,1,15.27363338
6,86,210,1,1,1,1,20.4711881
7,95,218,1,1,1,1,16.736882
8,98,220,1,1,1,1,23.10317299
9,110,234,1,1,1,1,23.15967282
10,119,237,1,1,1,1,29.89740594
11,125,245,1,1,1,1,20.37683572
12,130,252,1,1,1,1,26.77570845
13,138,261,1,1,1,1,25.60852859
14,150,272,1,1,1,1,29.40500736
15,158,283,1,1,1,1,35.30080736
16,170,285,1,1,1,1,31.73822233
17,172,300,1,1,1,1,33.9191326
18,184,307,1,1,1,1,46.692195
19,189,312,1,1,1,1,53.34331784
20,199,322,1,1,1,1,40.89331603
21,208,325,1,1,1,1,40.33484263
22,212,339,1,1,1,1,36.98490186
23,221,346,1,1,1,1,40.61404289
24,234,350,1,1,1,1,41.76526873
25,238,358,1,1,1,1,43.622578
26,245,370,1,1,1,1,41.92716235
27,259,376,1,1,1,1,45.40393874
28,262,389,1,1,1,1,52.17159074
29,268,393,1,1,1,1,53.9732801
30,280,405,1,1,1,1,54.82038563
31,287,412,1,1,1,1,51.38004866
32,300,420,1,1,1,1,50.58263167
33,303,430,1,1,1,1,55.39812182
34,313,432,1,1,1,1,58.96580189
35,324,440,1,1,1,1,60.77901182
36,330,453,1,1,1,1,67.43432335
37,333,454,1,1,1,1,65.33461607
38,348,462,1,1,1,1,66.90169006
39,355,470,1,1,1,1,67.83781136
40,356,485,1,1,1,1,68.07133118
41,373,487,1,1,1,1,71.12454441
42,380,502,1,1,1,1,67.35689003
43,383,503,1,1,1,1,81.55088804
44,397,519,1,1,1,1,65.85787269
45,398,519,1,1,1,1,75.95834407
46,406,535,1,1,1,1,74.30818406
47,419,538,1,1,1,1,84.82128393
48,421,543,1,1,1,1,77.43593984
49,434,551,1,1,1,1,84.04780843
50,441,567,1,1,1,1,84.32811723
51,452,572,1,1,1,1,81.08006945
52,460,576,1,1,1,1,85.10174156
53,466,588,1,1,1,1,90.41721676
54,474,599,1,1,1,1,90.83904405
55,483,601,1,1,1,1,94.32787343
56,492,614,1,1,1,1,92.05434983
57,498,619,1,1,1,1,92.66828992
58,505,626,1,1,1,1,93.62680748
59,512,636,1,1,1,1,98.9909892
60,526,649,1,1,1,1,98.56192771
61,529,649,1,1,1,1,83.14434846
62,542,657,1,1,1,1,75.69572367
63,545,666,1,1,1,1,84.69755727
64,552,673,1,1,1,1,80.61711275
65,567,681,1,1,1,1,83.27990662
66,573,692,1,1,1,1,84.30320963
67,575,705,1,1,1,1,84.64317463
68,586,712,1,1,1,1,87.98081684
69,597,719,1,1,1,1,88.53574844
70,599,724,1,1,1,1,86.36051279
71,614,736,1,1,1,1,89.49333099
72,621,739,1,1,1,1,89.97910401
73,628,746,1,1,1,1,93.39781075
74,640,755,1,1,1,1,98.14192727
75,643,766,1,1,1,1,98.48623175
76,649,772,1,1,1,1,98.92172649
77,663,778,1,1,1,1,100.5495972
78,672,789,1,1,1,1,121.4011978
79,673,794,1,1,1,1,116.1108476
80,682,808,1,1,1,1,70.97628413
81,696,814,1,1,1,1,114.2946263
82,701,823,1,1,1,1,72.68508563
83,712,830,1,1,1,1,72.9655804
84,719,840,1,1,1,1,75.11655823
85,729,844,1,1,1,1,80.9585402
86,736,853,1,1,1,1,122.7000969
87,743,863,1,1,1,1,122.5163529
88,752,869,1,1,1,1,129.1467531
89,754,881,1,1,1,1,129.3016916
90,767,892,1,1,1,1,131.6105354
91,775,897,1,1,1,1,133.8926927
92,780,908,1,1,1,1,160.6497663
93,789,911,1,1,1,1,153.7487048
94,801,921,1,1,1,1,157.9693671
95,808,929,1,1,1,1,138.6692039
96,818,933,1,1,1,1,140.1507019
97,823,941,1,1,1,1,146.035232
98,828,948,1,1,1,1,145.8872239
99,834,958,1,1,1,1,147.2241468
